job_title,count
Data Engineer,1307
Data Scientist,1243
Data Analyst,910
Machine Learning Engineer,629
Analytics Engineer,246
Research Scientist,206
Data Architect,176
Research Engineer,136
ML Engineer,113
Applied Scientist,97
Data Science Manager,86
Business Intelligence Analyst,82
Machine Learning Scientist,73
Business Intelligence Engineer,69
Data Manager,63
Research Analyst,60
Data Science,56
AI Engineer,48
Data Specialist,47
Data Science Consultant,42
BI Developer,41
Data Analytics Manager,31
Machine Learning Infrastructure Engineer,31
Director of Data Science,31
Business Intelligence Developer,29
Head of Data,28
Computer Vision Engineer,28
Data Modeler,24
BI Analyst,24
AI Scientist,22
Data Science Lead,22
Business Data Analyst,21
AI Developer,18
Data Science Engineer,18
ETL Developer,17
BI Data Analyst,17
Machine Learning Researcher,16
Data Lead,16
Data Quality Analyst,16
NLP Engineer,15
MLOps Engineer,15
Data Strategist,15
Machine Learning Software Engineer,15
Data Developer,14
Applied Machine Learning Scientist,14
Decision Scientist,13
Data Product Manager,12
Data Infrastructure Engineer,12
Data Operations Engineer,12
Head of Data Science,12
Data Visualization Specialist,12
Applied Data Scientist,12
Data Operations Analyst,10
Deep Learning Engineer,10
Lead Data Scientist,10
AI Architect,10
Principal Data Scientist,10
Big Data Engineer,10
Machine Learning Developer,8
Data Science Practitioner,8
Data Integration Specialist,8
AI Programmer,6
Business Intelligence Manager,6
Lead Data Engineer,6
Product Data Analyst,6
Data Analytics Lead,6
Insight Analyst,6
Data Management Specialist,5
Data Analytics Engineer,5
Computer Vision Software Engineer,5
AI Research Engineer,5
Lead Data Analyst,5
Cloud Database Engineer,5
Cloud Data Engineer,4
Machine Learning Research Engineer,4
Lead Machine Learning Engineer,4
Data Integration Engineer,4
Data Management Analyst,4
Data Strategy Manager,4
Prompt Engineer,4
Data Visualization Engineer,4
Financial Data Analyst,4
Data Operations Specialist,4
Business Intelligence Specialist,4
Data Product Owner,4
Machine Learning Manager,4
Principal Data Engineer,3
Principal Machine Learning Engineer,3
Machine Learning Operations Engineer,3
Data Quality Engineer,3
Head of Machine Learning,3
Staff Data Analyst,3
Applied Machine Learning Engineer,3
Software Data Engineer,3
Finance Data Analyst,3
Managing Director Data Science,2
Staff Data Scientist,2
Machine Learning Modeler,2
Data Science Director,2
Data Operations Manager,2
Data Analytics Consultant,2
Principal Data Analyst,2
Marketing Data Analyst,2
Data Analytics Specialist,2
Business Intelligence Data Analyst,2
Compliance Data Analyst,2
Data Visualization Analyst,2
Azure Data Engineer,2
Data DevOps Engineer,2
Big Data Architect,2
Machine Learning Specialist,2
Data Scientist Lead,2
Autonomous Vehicle Technician,2
Data Modeller,2
ETL Engineer,2
Data Quality Manager,2
Marketing Data Scientist,1
Data Analyst Lead,1
AWS Data Architect,1
BI Data Engineer,1
AI Product Manager,1
Deep Learning Researcher,1
Power BI Developer,1
Analytics Engineering Manager,1
Consultant Data Engineer,1
Principal Data Architect,1
Manager Data Management,1
Data Science Tech Lead,1
Staff Machine Learning Engineer,1
Cloud Data Architect,1
Marketing Data Engineer,1
Sales Data Analyst,1
